ID,Speaker
19-198-0001_27-123349-0024.wav,all the clans hostile to the name of campbell were set in motion john murray marquess of athol
19-198-0002_6078-54013-0002.wav,to see what kind of a fortune a man might make there for himself
19-198-0004_7078-271888-0077.wav,was standing with a young girl in the crowd around the easel why look papa that face the girl cried when her eyes fell upon the canvas it is her portrait surely the signore cannot know dio
19-198-0009_3526-176653-0031.wav,and the old man went on with a shake of his head he'll come he said to himself oh he'll come that very point hale was debating with himself as he unavailingly cast his minnow into the swift water and slowly wound it in again
19-198-0011_2391-145015-0032.wav,but was fated to become a cause of great sorrow to her for a few years after the marriage she was suddenly killed by an accident to her carriage there was another cousin closely associated with them at steventon
19-198-0014_5456-24741-0021.wav,that is that the man has often heard the word pomum while he was looking at the fruit
19-198-0015_426-122822-0017.wav,especially as she didn't know just where the mouse had gone but she decided not to who could take any comfort out of hysterics with a teacher so white faced and so blazing eyed standing before one who put that mouse in my desk said anne
19-198-0019_5022-29405-0010.wav,missus roylake's fascinating smile disappeared when i mentioned the mill she suddenly became a cold lady i might even say a stiff lady
19-198-0020_8770-295462-0022.wav,they could not know for mister lincoln dared not tell them that he had the emancipation proclamation in his pocket waiting for a federal victory before he could issue it the proclamation
19-198-0022_1594-135914-0080.wav,ah madam said he by what miracle he could say no more such a sudden transport of joy seized him that he fainted away fetnah and the syndic did all they could to bring him to himself
19-198-0024_7800-283478-0017.wav,who was an innocent party should suffer from our fun so i reckon we'll have to put our hands in our pockets and pay your bill mister benchley the hardware man nodded his head there was a twinkle in his eye as he observed frank langdon he knew the sort of reputation frank had in centerville
19-198-0025_254-127705-0002.wav,instructing them to tell the indians that if they would come in and make treaty with the commissioners they would be furnished with food and clothing and be protected but if they did not come in he would make war upon them and kill them all
19-198-0026_7511-102419-0017.wav,supposin it's married your man is wallace may have changed his mind about me but he would not marry without telling me if he is alive he is honorable then i asked
19-198-0029_2136-5140-0023.wav,and has told me all that concerns us to know he says your mamma is not there she is taken away i cried starting up and with streaming eyes gazing on the building which though i stamped my feet in my distraction
